CONTROL_STORE,CORR_SALES,CORR_CUST,DIST_SALES,DIST_CUST,SCORE_DIST_SALES,SCORE_DIST_CUST,FINAL_SCORE
99,-0.21574580449355352,-0.0732620392873194,225.41250000000002,38.375,0.8234641380006053,0.5770308123249299,0.2778717766361656
100,-0.03947064089462892,0.3081565743389234,727.8249999999999,62.0,0.39666679055148224,0.3123249299719888,0.24441941349194138
101,-0.17766202385582644,-0.09090909090909094,604.2,54.25,0.501685718381498,0.39915966386554624,0.15806856687053172
102,-0.4179630831386516,-0.6626067619836971,640.675,57.875,0.47070035625733364,0.3585434173669467,-0.06283151787451707
103,-0.3327485610825596,-0.35102794372198104,68.6625,9.125,0.956622616765863,0.9047619047619048,0.29440200418080675
104,-0.396804213038478,0.26766811594011397,615.1125,53.125,0.4924155946205674,0.4117647058823529,0.19376105085113907
105,0.5267607878322627,0.420431643303432,628.0,55.125,0.4814677165019884,0.3893557422969187,0.4545039724836505
106,0.033898821995908615,0.03383298356745037,685.70625,62.375,0.43244649503310384,0.3081232492997199,0.2020753874740457
107,-0.0669680721825124,-0.29745987191380674,537.4625,47.25,0.5583789494921608,0.4775910364145658,0.16788551045260186
108,-0.0935386111649861,-2.0816681711721685e-17,73.16249999999998,8.375,0.9527998853180566,0.9131652661064426,0.44310663506487824
109,-0.14730256891540916,0.08442129338129793,645.3375,55.875,0.4667395817294675,0.38095238095238093,0.1962026717869343
110,-0.14047846674133016,-0.2414141079474554,543.0375,50.0,0.5536430099762673,0.4467787114845938,0.15463228669301887
111,0.5165246266164897,0.4801202404403983,47.97500000000001,4.25,0.9741965627273065,0.9593837535014006,0.7325562958213988
112,0.11464394122850695,0.1542386441240427,707.0749999999999,62.875,0.4142938300052563,0.3025210084033614,0.24642435594029183
113,0.46741059275330377,0.5668803464588277,656.9625,54.125,0.4568641921559675,0.4005602240896359,0.4729288388644337
114,-0.3665321132943202,-0.3744291017607272,691.69375,61.5,0.42736013846782805,0.3179271708683473,0.0010815235702819892
115,0.6847633978763795,0.6250476973943327,84.24999999999999,3.5,0.9433810997786002,0.9677871148459384,0.8052448274738128
116,-0.08437481929258141,-0.33769670427974435,604.25,52.875,0.5016432435876335,0.4145658263305322,0.12353438658645997
118,-0.09761092029338388,0.1957500586363452,577.09375,52.125,0.5247123660052988,0.4229691876750701,0.26145517300583254
119,0.8318316010329232,0.9777090745046307,733.6375,55.375,0.39172909576473214,0.38655462184873945,0.6469560982877564
120,-0.1297019904905081,-0.044365565425401446,91.78750000000001,10.625,0.9369780246035243,0.8879551820728291,0.41271641269011095
121,0.4563430574926733,0.11766367798716977,64.0375,8.375,0.9605515351983307,0.9131652661064426,0.611930884196154
122,-0.14877728406648444,-0.03408485762923172,602.8375,53.5,0.5028431565143061,0.40756302521008403,0.1818860100071685
123,-0.0188784485315887,0.16825577520097565,922.4625,71.25,0.23132303673538746,0.20868347338935578,0.14734595919853255
124,-0.32265934211667124,-0.460703239349882,65.3375,8.25,0.9594471905578533,0.9145658263305322,0.27266260885545807
125,-0.07153702114088768,-0.2982474321968187,873.6937499999999,66.875,0.2727518888009898,0.25770308123249297,0.04016762917394409
126,-0.11995670125483399,-0.06440537602299572,150.3,7.375,0.8872718970835745,0.9243697478991597,0.40681989192622614
127,0.2708132119960493,0.11398093201512033,210.53750000000002,36.875,0.8361003891752987,0.5938375350140056,0.4536830170501185
128,0.18359642575333143,0.3266039647242484,752.1624999999999,64.5,0.37599218463792905,0.28431372549019607,0.2926265751514262
129,-0.44464832122775816,-0.1289347405050277,573.0875,48.75,0.5281156588636932,0.4607843137254902,0.10382922771409939
130,0.2644563807271966,-0.024436966481547247,930.00625,73.625,0.22491465221107854,0.18207282913165268,0.16175172389709513
